typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,year
C,A,20200101,2020,52,2020,340,HND,Honduras,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2715.0,False,8,kg,2715.0,False,2715.0,False,0,False,0.0,7938.0,7938.0,0,True,False,2020
C,A,20200101,2020,52,2020,348,HUN,Hungary,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,19858.0,False,8,kg,19858.0,False,19858.0,False,0,False,0.0,60818.0,60818.0,0,False,True,2020
C,A,20200101,2020,52,2020,364,IRN,Iran,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,600.0,False,8,kg,600.0,False,600.0,False,0,False,,324.0,324.0,0,True,False,2020
C,A,20200101,2020,52,2020,372,IRL,Ireland,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,186488.0,False,8,kg,186488.0,False,186488.0,False,0,False,0.0,587092.171,587092.171,0,True,False,2020
C,A,20200101,2020,52,2020,376,ISR,Israel,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1787787.653,True,-1,N/A,0.0,False,1787787.653,True,0,False,0.0,3669000.0,3669000.0,6,True,False,2020
C,A,20200101,2020,52,2020,380,ITA,Italy,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,152561.0,False,8,kg,152561.0,False,152561.0,False,0,False,,331276.817,331276.817,0,True,False,2020
C,A,20200101,2020,52,2020,388,JAM,Jamaica,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,39519.2,False,8,kg,39519.2,False,39519.2,False,0,False,0.0,98983.71,98983.71,0,True,False,2020
C,A,20200101,2020,52,2020,404,KEN,Kenya,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,328873.0,False,8,kg,328873.0,False,328873.0,False,0,False,,705034.344,705034.344,0,False,True,2020
C,A,20200101,2020,52,2020,428,LVA,Latvia,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.508,True,-1,N/A,0.0,False,1.508,True,0,False,,3.427,3.427,6,False,True,2020
C,A,20200101,2020,52,2020,440,LTU,Lithuania,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,12.396,False,8,kg,12.396,False,12.396,False,0,False,,29.0,29.0,0,True,False,2020
